CID,IDSURVEY,zCMB,zHD,zHEL,MU,MUERR_FINAL
1246275,10,0.24605,0.24605,0.24651,40.5938,0.0968
1246281,10,0.33549,0.33549,0.33600,41.2263,0.1360
1246314,10,0.38337,0.38337,0.38388,41.6383,0.2332
1246527,10,0.32078,0.32078,0.32184,41.1991,0.1503
1246529,10,0.49677,0.49677,0.49797,42.1471,0.1618
1246626,10,0.39282,0.39282,0.39392,41.5171,0.2060
1246650,10,0.90888,0.90888,0.91042,43.9813,0.1744
1246717,10,0.53378,0.53378,0.53500,42.6173,0.2676
1246758,10,0.53127,0.53127,0.53249,42.0988,0.1528
1246791,10,0.83066,0.83066,0.83213,43.3081,0.2020
1246796,10,0.55502,0.55502,0.55626,43.4210,280.1536
1247022,10,0.35763,0.35763,0.35859,41.8647,0.2009
1247420,10,0.15026,0.15026,0.15123,39.2151,0.1066
1247537,10,0.45565,0.45565,0.45687,41.9798,0.1434
1247570,10,0.57927,0.57927,0.58060,42.4823,0.1900
1248039,10,0.22566,0.22566,0.22666,40.1768,0.1902
1248084,10,0.28063,0.28063,0.28165,40.7081,0.1249
1248243,10,0.32394,0.32394,0.32489,41.2424,0.1327
1248441,10,0.24517,0.24517,0.24567,40.3561,0.1215
1248677,10,0.35016,0.35016,0.35067,41.3327,0.1027
1248907,10,0.17053,0.17053,0.17140,39.2212,0.1267
1248925,10,0.34307,0.34307,0.34408,41.4693,0.1322
1248936,10,0.57093,0.57093,0.57208,42.7430,0.2169
1248962,10,0.48342,0.48342,0.48452,42.1643,0.1252
1249090,10,0.38620,0.38620,0.38724,41.5710,0.1641
1249137,10,0.22305,0.22305,0.22397,40.2370,0.1897
1249178,10,0.76517,0.76517,0.76649,43.4719,0.1542
1249182,10,0.56017,0.56017,0.56135,42.1614,0.1998
1249209,10,0.48312,0.48312,0.48424,42.4648,0.1662
1249245,10,0.36834,0.36834,0.36932,41.2663,0.1298
1249264,10,0.54968,0.54968,0.55081,42.6753,0.1317
1249304,10,0.63680,0.63681,0.63802,42.7893,0.1302
1249308,10,0.22806,0.22806,0.22896,40.4850,0.1855
1249371,10,0.45085,0.45085,0.45191,42.2732,0.2722
1249395,10,0.55513,0.55513,0.55626,42.5455,0.1541
1249416,10,0.33169,0.33169,0.33267,42.6221,192.5920
1249483,10,0.28303,0.28303,0.28398,40.6531,0.1093
1249758,10,0.62139,0.62139,0.62198,42.9355,161.7507
1249851,10,0.21511,0.21511,0.21552,40.1906,0.0925
1249956,10,0.44628,0.44628,0.44737,42.3558,0.2478
1249970,10,0.26775,0.26775,0.26866,40.9014,0.1593
1250017,10,0.18216,0.18216,0.18299,39.8394,0.0937
1250034,10,0.16085,0.16085,0.16167,39.4300,0.1073
1250120,10,0.69088,0.69088,0.69207,43.1058,0.1208
1250275,10,0.38323,0.38323,0.38423,41.3713,0.1726
1250279,10,0.27382,0.27382,0.27476,40.4565,0.1066
1250357,10,0.35843,0.35843,0.35941,41.5367,0.1243
1250397,10,0.64305,0.64304,0.64442,42.8515,0.1266
1250435,10,0.49292,0.49292,0.49418,42.1186,0.1564
1250454,10,0.78734,0.78734,0.78880,43.5819,0.1349
1250532,10,0.52770,0.52770,0.52893,42.6670,0.1823
1250578,10,0.27860,0.27860,0.27962,40.7950,0.2017
1250665,10,0.29461,0.29461,0.29564,40.8951,0.1769
1250803,10,0.96329,0.96329,0.96406,44.1241,0.2170
1250823,10,0.66487,0.66487,0.66553,43.1281,0.2151
1250852,10,0.77725,0.77725,0.77796,43.3391,0.1509
1250858,10,0.85707,0.85707,0.85778,43.7874,0.2847
1250882,10,0.74658,0.74658,0.74728,43.4244,3.2613
1250896,10,0.87972,0.87971,0.88120,43.7911,0.1754
1250912,10,0.21898,0.21898,0.21995,40.3457,0.1946
1250916,10,0.66948,0.66948,0.67080,42.8645,0.1523
1250925,10,0.55146,0.55146,0.55269,42.3720,0.2078
1250950,10,0.70099,0.70099,0.70234,43.0325,0.1836
1250980,10,0.81967,0.81967,0.82115,43.7992,0.1827
1251022,10,0.68428,0.68428,0.68490,42.9354,0.1228
1251114,10,0.62632,0.62632,0.62692,42.8405,0.1305
1251126,10,0.59788,0.59788,0.59845,42.7359,0.1251
1251225,10,0.43172,0.43172,0.43274,42.0586,0.6442
1251390,10,0.43398,0.43398,0.43504,41.7944,0.1240
1251436,10,0.57349,0.57349,0.57464,42.6545,0.2004
1251536,10,0.52727,0.52727,0.52851,42.6778,0.1838
1251552,10,0.35484,0.35484,0.35592,41.5628,0.1267
1251600,10,0.55760,0.55760,0.55887,42.5625,0.1342
1251603,10,0.63033,0.63033,0.63165,42.9637,0.1993
1251618,10,0.82172,0.82172,0.82318,43.8632,0.1901
1251645,10,0.76679,0.76679,0.76820,43.5376,0.2042
1251652,10,0.77155,0.77155,0.77295,43.2732,0.1796
