#https://arxiv.org/abs/1802.01505
#Hubble diagram
#z	H	error
0.070	69	19.6
0.090	69	12
0.120	68.6	26.2
0.170	83	8
0.179	75	4
0.199	75	5
0.200	72.9	29.6
0.270	77	14
0.280	88.8	36.6
0.352	83	14
0.3802	83	13.5
0.400	95	17
0.4004	77	10.2
0.4247	87.1	11.2
0.4497	92.8	12.9
0.470	89.0	50	
0.4783	80.9	9
0.480	97	62
0.593	104	13
0.680	92	8
0.781	105	12
0.875	125 	17
0.880	90	40
0.900	117	23
1.037	154	20
1.300	168	17
1.363	160	33.6
1.430	177	18
1.530	140	14
1.750	202	40
1.965	186.5	50.4
