# binned Union2.1 SNe 
# z mu 
0.01485 34.1195
0.0173823 34.3247
0.0203464 34.7345
0.023816 35.0764
0.0278772 35.5075
0.032631 35.7946
0.0381954 36.1035
0.0447087 36.5114
0.0523327 36.7275
0.0612568 37.2108
0.0717026 37.5212
0.0839297 37.8447
0.0982418 38.416
0.114995 38.6436
0.134604 39.0639
0.157557 39.3158
0.184425 39.7809
0.215874 40.2008
0.252686 40.5283
0.295776 40.9583
0.346213 41.3021
0.405251 41.7843
0.474357 42.1591
0.555246 42.4971
0.64993 42.9402
0.76076 43.4369
0.890488 43.7696
1.04234 44.2057
1.22008 44.7147
1.42814 45.0506
