#    L    TT             TE             EE             BB             PP
     2    0.10734E+04    0.32396E+01    0.45868E-01    0.19176E-05    0.52387E-07
     3    0.10147E+04    0.39394E+01    0.71785E-01    0.38357E-05    0.63722E-07
     4    0.95663E+03    0.39669E+01    0.77074E-01    0.63940E-05    0.73390E-07
     5    0.91162E+03    0.36123E+01    0.64828E-01    0.95933E-05    0.81770E-07
     6    0.87937E+03    0.30926E+01    0.45098E-01    0.13434E-04    0.89081E-07
     7    0.85765E+03    0.25434E+01    0.27059E-01    0.17918E-04    0.95517E-07
     8    0.84373E+03    0.20446E+01    0.15196E-01    0.23046E-04    0.10121E-06
     9    0.83585E+03    0.16339E+01    0.94672E-02    0.28819E-04    0.10628E-06
    10    0.83267E+03    0.13280E+01    0.75127E-02    0.35239E-04    0.11079E-06
    11    0.83271E+03    0.11298E+01    0.68983E-02    0.42307E-04    0.11484E-06
    12    0.83628E+03    0.10321E+01    0.63421E-02    0.50025E-04    0.11847E-06
    13    0.84167E+03    0.10090E+01    0.54645E-02    0.58395E-04    0.12170E-06
    14    0.84797E+03    0.10316E+01    0.47648E-02    0.67418E-04    0.12461E-06
    15    0.85554E+03    0.10827E+01    0.44344E-02    0.77097E-04    0.12722E-06
    16    0.86482E+03    0.11494E+01    0.45002E-02    0.87433E-04    0.12956E-06
    17    0.87577E+03    0.12202E+01    0.48593E-02    0.98429E-04    0.13166E-06
    18    0.88742E+03    0.12865E+01    0.52277E-02    0.11009E-03    0.13355E-06
    19    0.90061E+03    0.13453E+01    0.55752E-02    0.12241E-03    0.13523E-06
    20    0.91366E+03    0.13932E+01    0.59974E-02    0.13539E-03    0.13672E-06
    21    0.92692E+03    0.14367E+01    0.65727E-02    0.14905E-03    0.13804E-06
    22    0.94071E+03    0.14821E+01    0.74308E-02    0.16337E-03    0.13921E-06
    23    0.95482E+03    0.15307E+01    0.85633E-02    0.17836E-03    0.14024E-06
    24    0.96933E+03    0.15825E+01    0.99023E-02    0.19403E-03    0.14114E-06
    25    0.98417E+03    0.16378E+01    0.11450E-01    0.21037E-03    0.14192E-06
    26    0.99918E+03    0.16976E+01    0.13184E-01    0.22739E-03    0.14260E-06
    27    0.10146E+04    0.17578E+01    0.15086E-01    0.24509E-03    0.14317E-06
    28    0.10302E+04    0.18144E+01    0.17164E-01    0.26346E-03    0.14365E-06
    29    0.10462E+04    0.18653E+01    0.19418E-01    0.28252E-03    0.14404E-06
    30    0.10624E+04    0.19074E+01    0.21854E-01    0.30225E-03    0.14434E-06
    31    0.10787E+04    0.19397E+01    0.24456E-01    0.32267E-03    0.14456E-06
    32    0.10953E+04    0.19609E+01    0.27202E-01    0.34378E-03    0.14472E-06
    33    0.11123E+04    0.19684E+01    0.30122E-01    0.36556E-03    0.14481E-06
    34    0.11295E+04    0.19617E+01    0.33267E-01    0.38804E-03    0.14484E-06
    35    0.11467E+04    0.19465E+01    0.36668E-01    0.41119E-03    0.14481E-06
    36    0.11641E+04    0.19269E+01    0.40349E-01    0.43504E-03    0.14474E-06
    37    0.11815E+04    0.18993E+01    0.44278E-01    0.45956E-03    0.14461E-06
    38    0.11993E+04    0.18612E+01    0.48426E-01    0.48478E-03    0.14444E-06
    39    0.12175E+04    0.18135E+01    0.52810E-01    0.51068E-03    0.14423E-06
    40    0.12358E+04    0.17582E+01    0.57463E-01    0.53726E-03    0.14398E-06
    41    0.12543E+04    0.16959E+01    0.62416E-01    0.56453E-03    0.14369E-06
    42    0.12728E+04    0.16248E+01    0.67667E-01    0.59248E-03    0.14337E-06
    43    0.12915E+04    0.15421E+01    0.73204E-01    0.62111E-03    0.14301E-06
    44    0.13101E+04    0.14458E+01    0.79003E-01    0.65043E-03    0.14262E-06
    45    0.13291E+04    0.13342E+01    0.85047E-01    0.68043E-03    0.14221E-06
    46    0.13483E+04    0.12044E+01    0.91330E-01    0.71111E-03    0.14176E-06
    47    0.13677E+04    0.10581E+01    0.97861E-01    0.74247E-03    0.14130E-06
    48    0.13872E+04    0.90133E+00    0.10466E+00    0.77450E-03    0.14081E-06
    49    0.14068E+04    0.73915E+00    0.11173E+00    0.80722E-03    0.14030E-06
    50    0.14268E+04    0.57003E+00    0.11906E+00    0.84061E-03    0.13978E-06
    51    0.14470E+04    0.39057E+00    0.12663E+00    0.87467E-03    0.13923E-06
    52    0.14675E+04    0.19558E+00    0.13452E+00    0.90941E-03    0.13867E-06
    53    0.14881E+04   -0.18666E-01    0.14287E+00    0.94482E-03    0.13810E-06
    54    0.15085E+04   -0.24797E+00    0.15165E+00    0.98091E-03    0.13751E-06
    55    0.15291E+04   -0.48800E+00    0.16084E+00    0.10177E-02    0.13691E-06
    56    0.15501E+04   -0.74057E+00    0.17028E+00    0.10551E-02    0.13630E-06
    57    0.15713E+04   -0.10057E+01    0.17986E+00    0.10932E-02    0.13567E-06
    58    0.15928E+04   -0.12842E+01    0.18960E+00    0.11319E-02    0.13504E-06
    59    0.16145E+04   -0.15769E+01    0.19954E+00    0.11714E-02    0.13439E-06
    60    0.16363E+04   -0.18833E+01    0.20973E+00    0.12115E-02    0.13374E-06
    61    0.16586E+04   -0.22026E+01    0.22029E+00    0.12522E-02    0.13308E-06
    62    0.16808E+04   -0.25354E+01    0.23118E+00    0.12936E-02    0.13240E-06
    63    0.17031E+04   -0.28826E+01    0.24238E+00    0.13357E-02    0.13173E-06
    64    0.17258E+04   -0.32452E+01    0.25390E+00    0.13785E-02    0.13104E-06
    65    0.17486E+04   -0.36234E+01    0.26570E+00    0.14219E-02    0.13035E-06
    66    0.17716E+04   -0.40154E+01    0.27773E+00    0.14660E-02    0.12966E-06
    67    0.17949E+04   -0.44184E+01    0.28998E+00    0.15108E-02    0.12897E-06
    68    0.18185E+04   -0.48308E+01    0.30248E+00    0.15562E-02    0.12827E-06
    69    0.18423E+04   -0.52511E+01    0.31521E+00    0.16023E-02    0.12757E-06
    70    0.18665E+04   -0.56811E+01    0.32819E+00    0.16490E-02    0.12687E-06
    71    0.18907E+04   -0.61232E+01    0.34141E+00    0.16965E-02    0.12616E-06
    72    0.19152E+04   -0.65789E+01    0.35485E+00    0.17446E-02    0.12546E-06
    73    0.19398E+04   -0.70487E+01    0.36847E+00    0.17933E-02    0.12475E-06
    74    0.19646E+04   -0.75319E+01    0.38226E+00    0.18428E-02    0.12405E-06
    75    0.19897E+04   -0.80270E+01    0.39624E+00    0.18929E-02    0.12334E-06
    76    0.20151E+04   -0.85333E+01    0.41040E+00    0.19437E-02    0.12263E-06
    77    0.20408E+04   -0.90506E+01    0.42473E+00    0.19952E-02    0.12192E-06
    78    0.20669E+04   -0.95803E+01    0.43926E+00    0.20474E-02    0.12121E-06
    79    0.20932E+04   -0.10118E+02    0.45394E+00    0.21002E-02    0.12050E-06
    80    0.21198E+04   -0.10666E+02    0.46877E+00    0.21538E-02    0.11979E-06
    81    0.21465E+04   -0.11225E+02    0.48370E+00    0.22080E-02    0.11908E-06
    82    0.21735E+04   -0.11792E+02    0.49876E+00    0.22629E-02    0.11837E-06
    83    0.22007E+04   -0.12369E+02    0.51390E+00    0.23186E-02    0.11766E-06
    84    0.22282E+04   -0.12952E+02    0.52914E+00    0.23749E-02    0.11696E-06
    85    0.22558E+04   -0.13544E+02    0.54445E+00    0.24319E-02    0.11626E-06
    86    0.22835E+04   -0.14142E+02    0.55983E+00    0.24897E-02    0.11556E-06
    87    0.23118E+04   -0.14747E+02    0.57526E+00    0.25481E-02    0.11486E-06
    88    0.23400E+04   -0.15358E+02    0.59075E+00    0.26073E-02    0.11417E-06
    89    0.23685E+04   -0.15977E+02    0.60629E+00    0.26671E-02    0.11347E-06
    90    0.23973E+04   -0.16600E+02    0.62183E+00    0.27277E-02    0.11278E-06
    91    0.24262E+04   -0.17230E+02    0.63738E+00    0.27891E-02    0.11210E-06
    92    0.24554E+04   -0.17864E+02    0.65290E+00    0.28511E-02    0.11141E-06
    93    0.24849E+04   -0.18503E+02    0.66840E+00    0.29139E-02    0.11074E-06
